Year,Entity,gdp_ppp
2023,Germany,4579.99982581567
2024,Germany,4628.65462028273
2025,Germany,4677.30941474979
2026,Germany,4725.964209216836
2027,Germany,4774.619003683911
2028,Germany,4823.273798150942
2029,Germany,4871.928592618002
2030,Germany,4920.583387085062
2031,Germany,4969.238181552108
2032,Germany,5017.892976019153
2033,Germany,5066.547770486228
2034,Germany,5115.202564953259
2035,Germany,5163.8573594203335
2036,Germany,5212.512153887379
2037,Germany,5261.16694835441
2038,Germany,5309.821742821485
2039,Germany,5358.47653728853
2040,Germany,5407.1313317555905
2041,Germany,5455.786126222636
2042,Germany,5504.440920689696
2043,Germany,5553.095715156756
2044,Germany,5601.750509623802
2045,Germany,5650.4053040908475
2046,Germany,5699.060098557922
2047,Germany,5747.714893024953
2048,Germany,5796.369687492028
2049,Germany,5845.0244819590735
2050,Germany,5893.6792764261045
2051,Germany,5942.334070893194
2052,Germany,5990.988865360239
2053,Germany,6039.64365982727
2054,Germany,6088.29845429433
2055,Germany,6136.953248761391
2056,Germany,6185.608043228465
2057,Germany,6234.262837695496
2058,Germany,6282.917632162542
2059,Germany,6331.572426629602
2023,India,9231.682682690214
2024,India,9495.212954968694
2025,India,9758.743227247156
2026,India,10022.273499525549
2027,India,10285.803771804036
2028,India,10549.334044082487
2029,India,10812.864316360978
2030,India,11076.394588639458
2031,India,11339.924860917916
2032,India,11603.455133196381
2033,India,11866.985405474858
2034,India,12130.515677753341
2035,India,12394.045950031737
2036,India,12657.576222310196
2037,India,12921.106494588657
2038,India,13184.636766867137
2039,India,13448.167039145621
2040,India,13711.697311424105
2041,India,13975.227583702563
2042,India,14238.757855981028
2043,India,14502.288128259504
2044,India,14765.8184005379
2045,India,15029.348672816384
2046,India,15292.878945094824
2047,India,15556.4092173733
2048,India,15819.939489651784
2049,India,16083.469761930264
2050,India,16347.000034208751
2051,India,16610.53030648719
2052,India,16874.060578765675
2053,India,17137.59085104415
2054,India,17401.12112332263
2055,India,17664.6513956011
2056,India,17928.18166787956
2057,India,18191.71194015786
2058,India,18455.242212436344
2059,India,18718.772484714824
2023,United States,21695.57956016343
2024,United States,22049.777542315074
2025,United States,22403.975524466834
2026,United States,22758.173506618477
2027,United States,23112.371488770004
2028,United States,23466.56947092188
2029,United States,23820.767453073408
2030,United States,24174.965435225167
2031,United States,24529.16341737681
2032,United States,24883.36139952857
2033,United States,25237.559381680214
2034,United States,25591.757363831857
2035,United States,25945.955345983617
2036,United States,26300.15332813526
2037,United States,26654.35131028702
2038,United States,27008.549292438547
2039,United States,27362.747274590307
2040,United States,27716.945256742067
2041,United States,28071.143238893594
2042,United States,28425.341221045353
2043,United States,28779.539203197113
2044,United States,29133.73718534864
2045,United States,29487.9351675004
2046,United States,29842.133149651927
2047,United States,30196.331131803803
2048,United States,30550.529113955447
2049,United States,30904.727096106973
2050,United States,31258.925078258733
2051,United States,31613.123060410377
2052,United States,31967.32104256202
2053,United States,32321.519024713663
2054,United States,32675.717006865423
2055,United States,33029.91498901707
2056,United States,33384.11297116871
2057,United States,33738.31095332047
2058,United States,34092.50893547211
2059,United States,34446.70691762387
